Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
0.9463139,Left,-0.02515854,2.282472,0.135402,-0.02469045,1.002824,4.89834,40.84885,-7.378788,3.746186,39.99358,0.9980469,1,BG,BG
0.9463139,Right,-0.02515854,2.282472,0.135402,-0.2896245,0.9953805,4.891353,41.30619,-9.539351,3.764706,39.991,0.9980469,1,BG,BG
0.9717598,Left,-0.02372711,2.282113,0.1419809,0.0180978,1.014955,4.89587,40.79472,-7.121716,3.739214,39.98527,0.9980469,1,BG,BG
0.9717598,Right,-0.02372711,2.282113,0.1419809,-0.2472505,1.006589,4.891385,41.2343,-9.278572,3.752385,39.97956,0.9980469,1,BG,BG
0.9866047,Left,-0.02271361,2.281774,0.1455073,0.0180978,1.014955,4.89587,40.80973,-7.191718,3.710197,39.98731,0.9980469,1,BG,BG
0.9866047,Right,-0.02271361,2.281774,0.1455073,-0.2472505,1.006589,4.891385,41.25537,-9.350712,3.724899,39.98361,0.9980469,1,BG,BG
1.013105,Left,-0.0202759,2.281003,0.152826,0.04065889,1.0347,4.891599,40.797,-7.127882,3.838522,39.97367,0.9980469,1,BG,BG
1.013105,Right,-0.0202759,2.281003,0.152826,-0.2248094,1.025423,4.888555,41.23537,-9.285652,3.846777,39.9669,0.9980469,1,BG,BG
1.027939,Left,-0.01885067,2.280582,0.1565463,0.08336209,1.052218,4.887319,40.76785,-6.821557,3.977418,39.98795,0.9980469,1,BG,BG
1.027939,Right,-0.01885067,2.280582,0.1565463,-0.1823956,1.042574,4.886693,41.19336,-8.977296,3.979907,39.98553,0.9980469,1,BG,BG
1.042063,Left,-0.01728029,2.280188,0.1603552,0.08336209,1.052218,4.887319,40.78014,-6.853533,3.97723,39.99129,0.9980469,1,BG,BG
1.042063,Right,-0.01728029,2.280188,0.1603552,-0.1823956,1.042574,4.886693,41.20827,-9.010485,3.97856,39.98986,0.9980469,1,BG,BG
1.069534,Left,-0.01347423,2.279454,0.1679788,0.215563,1.05942,4.881717,40.61467,-5.800006,3.948427,39.9924,0.9980469,1,BG,BG
1.069534,Right,-0.01347423,2.279454,0.1679788,-0.05126039,1.050939,4.888036,40.98457,-7.94512,3.942523,39.991,0.9980469,1,BG,BG
1.084255,Left,-0.01119299,2.279031,0.1716893,0.215563,1.05942,4.881717,40.62237,-5.809022,3.906111,39.99939,0.9980469,1,BG,BG
1.084255,Right,-0.01119299,2.279031,0.1716893,-0.05126039,1.050939,4.888036,40.99378,-7.954823,3.897385,39.99934,0.9980469,1,BG,BG
1.111141,Left,-0.006324783,2.278233,0.1797572,0.2323259,1.052864,4.882367,40.58911,-5.652116,3.772665,40.0013,0.9980469,1,BG,BG
