init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,true_last_word_mjidx,gaze_positions_list,true_last_word_memory_list,gaze_positions_list
3.0,4.5,0.6,3.0,L0,122,6,2.0,28,"[0.19416447491995148, 0.24707449427913716]","[0.1571445204288281, 0.15551393749492284]","[30, 30]"
3.0,4.5,0.6,3.0,L0,123,6,0.0,36,"[0.3952909737843071, 0.4916705668368986]","[0.24537589071508778, 0.24228230294216996]","[36, 36]"
3.0,4.5,0.6,3.0,L0,124,6,4.0,29,"[0.19342096827456484, 0.2375052870183882]","[0.14884999153518863, 0.14720590757510899]","[33, 33]"
3.0,4.5,0.6,3.0,L0,125,14,1.0,35,"[0.12275794194487286, 0.13306737453441128, 0.3480469054718537, 0.36815763090679776]","[0.19939365029699865, 0.19728727731657003, 0.19576223701628293, 0.1943588011155757]","[28, 32, 36, 36]"
3.0,4.5,0.6,3.0,L0,126,6,1.0,35,"[0.3384343929026118, 0.4233987129949256]","[0.19939365029699865, 0.19728727731657003]","[36, 36]"
3.0,4.5,0.6,3.0,L0,127,10,0.0,36,"[0.19734013326871053, 0.2352882578153484, 0.4795201525945476]","[0.24537589071508778, 0.24228230294216996, 0.24004718337312844]","[32, 36, 36]"
3.0,4.5,0.6,3.0,L0,128,10,0.0,31,"[0.1418910621140045, 0.1693367082736985, 0.303796432730219]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,129,6,0.0,30,"[0.21901065545825288, 0.28386230056025596]","[0.14526078844766527, 0.14358691513360786]","[30, 30]"
3.0,4.5,0.6,3.0,L0,130,14,0.0,33,"[0.12396913894906618, 0.139301563236266, 0.266013008882293, 0.3928759215383992]","[0.15714452042882812, 0.15551393749492282, 0.15434188723567582, 0.15326958389872292]","[25, 29, 33, 33]"
3.0,4.5,0.6,3.0,L0,131,10,0.0,31,"[0.2110757964091043, 0.2729036471703673, 0.2570970520152233]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[30, 31, 31]"
3.0,4.5,0.6,3.0,L0,132,10,1.0,32,"[0.2944313227045806, 0.3772382140560123, 0.3155207468938446]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,133,10,1.0,30,"[0.17313059400562997, 0.21522513674976548, 0.281230175352746]","[0.14526078844766527, 0.14358691513360786, 0.14239091702668963]","[27, 31, 31]"
3.0,4.5,0.6,3.0,L0,134,6,4.0,30,"[0.14189106211400448, 0.16933670827369848]","[0.14526078844766527, 0.14358691513360786]","[34, 34]"
3.0,4.5,0.6,3.0,L0,135,14,2.0,27,"[0.26773574234942127, 0.34962902493171794, 0.3736013138706771, 0.2552826782431624]","[0.17255692571175196, 0.17082853840049236, 0.16958044540732878, 0.16843428039357503]","[27, 28, 29, 29]"
3.0,4.5,0.6,3.0,L0,136,10,1.0,32,"[0.2944313227045806, 0.3772382140560123, 0.3155207468938446]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818]","[32, 33, 33]"
3.0,4.5,0.6,3.0,L0,137,6,3.0,26,"[0.23395212964460388, 0.288810296496332]","[0.19939365029699863, 0.19728727731657006]","[29, 29]"
3.0,4.5,0.6,3.0,L0,138,10,1.0,34,"[0.15183254487669753, 0.17597032241906566, 0.4643360145123199]","[0.172556925711752, 0.17082853840049234, 0.16958044540732875]","[29, 33, 33]"
3.0,4.5,0.6,3.0,L0,139,18,1.0,32,"[0.10174031720301469, 0.10841689552406474, 0.2819702168723805, 0.20495788775715834, 0.3445787257826739]","[0.14884999153518866, 0.14720590757510899, 0.14602876154737818, 0.14495526431009323, 0.143971301706733]","[26, 30, 29, 33, 33]"
