init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,episode_num,steps,error,gaze_positions_list
2.0,0.5,0.8500000000000001,4.0,L0,2,10,0.0,"[27, 28, 28]"
2.0,0.5,0.8500000000000001,4.0,L0,3,18,2.0,"[27, 31, 30, 34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,4,6,0.0,"[27, 27]"
2.0,0.5,0.8500000000000001,4.0,L0,5,10,0.0,"[35, 36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,6,6,3.0,"[34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,7,6,2.0,"[35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,8,6,6.0,"[36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,9,14,0.0,"[29, 33, 34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,10,14,0.0,"[30, 34, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,11,10,1.0,"[29, 30, 30]"
2.0,0.5,0.8500000000000001,4.0,L0,12,6,4.0,"[35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,13,18,0.0,"[27, 31, 35, 36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,14,66,0.0,"[26, 30, 34, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 32, 36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,15,6,0.0,"[30, 30]"
2.0,0.5,0.8500000000000001,4.0,L0,16,14,1.0,"[32, 31, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,17,6,6.0,"[32, 32]"
2.0,0.5,0.8500000000000001,4.0,L0,18,10,0.0,"[35, 36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,19,14,1.0,"[27, 31, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,20,10,1.0,"[25, 26, 26]"
2.0,0.5,0.8500000000000001,4.0,L0,21,18,2.0,"[27, 31, 30, 34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,22,10,0.0,"[25, 26, 26]"
2.0,0.5,0.8500000000000001,4.0,L0,23,10,1.0,"[33, 34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,24,18,2.0,"[27, 31, 30, 34, 34]"
2.0,0.5,0.8500000000000001,4.0,L0,25,6,4.0,"[35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,26,6,2.0,"[31, 31]"
2.0,0.5,0.8500000000000001,4.0,L0,27,10,1.0,"[25, 26, 26]"
2.0,0.5,0.8500000000000001,4.0,L0,28,14,2.0,"[26, 25, 29, 29]"
2.0,0.5,0.8500000000000001,4.0,L0,29,18,0.0,"[28, 32, 31, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,30,6,1.0,"[32, 32]"
2.0,0.5,0.8500000000000001,4.0,L0,31,6,1.0,"[32, 32]"
2.0,0.5,0.8500000000000001,4.0,L0,32,10,1.0,"[25, 26, 26]"
2.0,0.5,0.8500000000000001,4.0,L0,33,6,6.0,"[36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,34,14,0.0,"[26, 30, 31, 31]"
2.0,0.5,0.8500000000000001,4.0,L0,35,10,0.0,"[27, 31, 31]"
2.0,0.5,0.8500000000000001,4.0,L0,36,6,6.0,"[35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,37,6,0.0,"[36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,38,14,0.0,"[31, 35, 36, 36]"
2.0,0.5,0.8500000000000001,4.0,L0,39,14,2.0,"[26, 25, 29, 29]"
2.0,0.5,0.8500000000000001,4.0,L0,40,6,3.0,"[33, 33]"
2.0,0.5,0.8500000000000001,4.0,L0,41,6,1.0,"[27, 27]"
2.0,0.5,0.8500000000000001,4.0,L0,42,6,8.0,"[33, 33]"
2.0,0.5,0.8500000000000001,4.0,L0,43,10,0.0,"[25, 29, 29]"
2.0,0.5,0.8500000000000001,4.0,L0,44,14,2.0,"[26, 25, 29, 29]"
2.0,0.5,0.8500000000000001,4.0,L0,45,10,0.0,"[31, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,46,10,0.0,"[31, 35, 35]"
2.0,0.5,0.8500000000000001,4.0,L0,47,10,0.0,"[29, 33, 33]"
